Date	CrawlDate	PostedDate	Company	Country	Type	Title	URL	Score	Keywords	Locations	Matched	Decision
2026-06-02	2026-06-02		liebherr	Germany	Job	Varied jobs in sales	https://www.liebherr.com/en-int/careers/professionals/sales-5370614	27	Design	Germany, Austria, UK	False	Below threshold
2026-06-02	2026-06-02		SII	Germany	Job	Career Portal - SII Deutschland	https://sii-group.de/en/career-portal/	26	Design	Germany, Netherland, France, Italy	False	Below threshold
2026-06-02	2026-06-02		SII	Germany	Job	Career Portal - SII Deutschland	https://sii-group.de/en/career-portal?search_category=Andere	26	Design	Germany, Netherland, France, Italy	False	Below threshold
2026-06-02	2026-06-02		SII	Germany	Job	Career Portal - SII Deutschland	https://sii-group.de/en/career-portal?search_category=automation-manufacturing-engineering	26	Design	Germany, Netherland, France, Italy	False	Below threshold
2026-06-02	2026-06-02		SII	Germany	Job	Career Portal - SII Deutschland	https://sii-group.de/en/career-portal?search_category=commercial-administration	26	Design	Germany, Netherland, France, Italy	False	Below threshold
2026-06-02	2026-06-02		SII	Germany	Job	Career Portal - SII Deutschland	https://sii-group.de/en/career-portal?search_category=design-styling	26	Design	Germany, Netherland, France, Italy	False	Below threshold
2026-06-02	2026-06-02		SII	Germany	Job	Career Portal - SII Deutschland	https://sii-group.de/en/career-portal?search_category=electrics-electronics	26	Design	Germany, Netherland, France, Italy	False	Below threshold
2026-06-02	2026-06-02		SII	Germany	Job	Career Portal - SII Deutschland	https://sii-group.de/en/career-portal?search_category=it-software-development	26	Design	Germany, Netherland, France, Italy	False	Below threshold
2026-06-02	2026-06-02		SII	Germany	Job	Career Portal - SII Deutschland	https://sii-group.de/en/career-portal?search_category=logistics-maintenance-approval	26	Design	Germany, Netherland, France, Italy	False	Below threshold
2026-06-02	2026-06-02		SII	Germany	Job	Career Portal - SII Deutschland	https://sii-group.de/en/career-portal?search_category=mechanical-engineering	26	Design	Germany, Netherland, France, Italy	False	Below threshold
2026-06-02	2026-06-02		SII	Germany	Job	Career Portal - SII Deutschland	https://sii-group.de/en/career-portal?search_category=project-process-management	26	Design	Germany, Netherland, France, Italy	False	Below threshold
2026-06-02	2026-06-02		Kelvion	Germany	Job	Jobs | Kelvion	https://www.kelvion.com/de/karriere/jobs?tx_solr%5Bfilter%5D%5B0%5D=categories%3AEngineering	26	Design	Germany, Netherland, UK, France	False	Below threshold
2026-06-02	2026-06-02		Grob Aircraft	Germany	Job	Structures Engineer – Continued Airworthiness & Repairs (m/f/x) - Grob Aircraft SE	https://jobs.grob-aircraft.com/jobs/7572329-structures-engineer-continued-airworthiness-repairs-m-f-x	25	Aerodynamics, Design		False	Below threshold
2026-06-02	2026-06-02		MTU	Germany	Job	IT - MTU Aero Engines	https://www.mtu.de/careers/job-areas/it/	25	Simulation		False	Below threshold
	2026-06-02		Ziehl	Germany	Job	Duales Studium im Bereich Elektrotechnik und Informationstechnik (m/w/d) ab September 2026	https://karriere.ziehl-abegg.de/detail/job/67e657409c561e32aecb7e82	25	Simulation		False	Skipped noise
	2026-06-02		Ziehl	Germany	Job	Duales Studium im Bereich Elektrotechnik und Informationstechnik (m/w/d) ab September 2027	https://karriere.ziehl-abegg.de/detail/job/69df7e7a75229743fa875470	25	Simulation		False	Skipped noise
2026-06-02	2026-06-02		Helsing	Germany	Job	Flight Dynamics Modelling Engineer – Helsing	https://helsing.ai/jobs/4643529101	25			False	Below threshold
2026-06-02	2026-06-02		3DS	Germany	Job	Be the Next Game Changer | Careers - Dassault Systèmes	https://www.3ds.com/careers/jobs	24		Germany, Netherland, France, Italy, Australia	False	Below threshold
2026-06-02	2026-06-02		Airbus	Germany	Job	Careers | Airbus	https://www.airbus.com/en/careers	24	Design	Germany, Netherland, France, Australia	False	Below threshold
2026-06-02	2026-06-02		Kelvion	Germany	Job	Jobs | Kelvion	https://www.kelvion.com/de/karriere/jobs?tx_solr%5Bfilter%5D%5B0%5D=categories%3AVertrieb	23	Design	Germany, UK, Australia	False	Below threshold
2026-06-02	2026-06-02		IAV	Germany	Job	Joboffers - IAV	https://www.iav.com/career/joboffers/	21	Design	Germany, France	False	Below threshold
2026-06-02	2026-06-02		Kelvion	Germany	Job	Jobs | Kelvion	https://www.kelvion.com/de/karriere/jobs?tx_solr%5Bfilter%5D%5B0%5D=categories%3AService	21		Germany, UK, France	False	Below threshold
2026-06-02	2026-06-02		Siemens	Germany	Job	Job Search | Careers Marketplace - Siemens	https://jobs.siemens.com/cs_CZ/externaljobs/SearchJobs/?42386=%5B812132%5D&42386_format=17546&42389=%5B39106405%2C144468627%2C102122%2C102134%2C102127%5D&42389_format=17549&42390=%5B102155%2C102156%2C102157%2C102158%5D&42390_format=17550&listFilterMode=1&folderRecordsPerPage=9&acz=1&gad_source=1&gad_campaignid=22145011592&gbraid=0AAAAADEuPPMyJNgoWK6259Pvtj28zRinJ&gclid=Cj0KCQjw_vnQBhCxARIsADcZyxJmEyEMgRhsNpWNBs2CTtWxpEEVypzsHBAepKJh_FJ6ZQbC6twdIlUaAodaEALw_wcB	20	Design	Germany, UK	False	Below threshold
2026-06-02	2026-06-02		Siemens	Germany	Job	GIS Portfolio Expert (w/m/d) U.S. Market - Job Detail | Careers Marketplace - Siemens	https://jobs.siemens.com/en_US/externaljobs/JobDetail/507900	20	Design	Germany, UK	False	Below threshold
2026-06-02	2026-06-02		Siemens	Germany	Job	Job Search | Careers Marketplace - Siemens	https://jobs.siemens.com/en_US/externaljobs/SearchJobs/?42386=%5B812132%5D&42386_format=17546&42389=%5B39106405%2C144468627%2C102122%2C102134%2C102127%5D&42389_format=17549&42390=%5B102155%2C102156%2C102157%2C102158%5D&42390_format=17550&listFilterMode=1&folderRecordsPerPage=6&folderOffset=30	20	Design	Germany, UK	False	Below threshold
2026-06-02	2026-06-02		Rocket Factory	Germany	Job	Job Application for Additive Manufacturing Technician (m/f/d) 3D Metal-Printing at Rocket Factory Augsburg AG	https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4823846101	20	Design	Germany, UK	False	Below threshold
2026-06-02	2026-06-02		Rocket Factory	Germany	Job	Job Application for CNC Operator (m/f/d) at Rocket Factory Augsburg AG	https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4823908101	20	Design	Germany, UK	False	Below threshold
2026-06-02	2026-06-02		Rocket Factory	Germany	Job	Job Application for Accounts Payable Accountant (m/f/d) at Rocket Factory Augsburg AG	https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4824691101	20	Design	Germany, UK	False	Below threshold
2026-06-02	2026-06-02		Rocket Factory	Germany	Job	Job Application for Assembly Technician (f/m/d) – Shetland UK at Rocket Factory Augsburg AG	https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4828781101	20	Fluid, Design	UK	False	Below threshold
2026-06-02	2026-06-02		Rocket Factory	Germany	Job	Job Application for Welder (m/f/d) at Rocket Factory Augsburg AG	https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4829139101	20	Design	Germany, UK	False	Below threshold
2026-06-02	2026-06-02		Rocket Factory	Germany	Job	Job Application for Avionics Hardware Technician (f/m/d) at Rocket Factory Augsburg AG	https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4829285101	20	Design	Germany, UK	False	Below threshold
2026-06-02	2026-06-02		Rocket Factory	Germany	Job	Job Application for Senior Electrical Engineer - Launch at Rocket Factory Augsburg AG	https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4829429101	20	Design	Germany, UK	False	Below threshold
2026-06-02	2026-06-02		Rocket Factory	Germany	Job	Job Application for Communications & PR Manager (m/f/d) at Rocket Factory Augsburg AG	https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4830264101	20	Design	Germany, UK	False	Below threshold
2026-06-02	2026-06-02		Rocket Factory	Germany	Job	Job Application for Avionics Production Engineer (m/f/d) at Rocket Factory Augsburg AG	https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4836411101	20	Design	Germany, UK	False	Below threshold
2026-06-02	2026-06-02		Rocket Factory	Germany	Job	Bewerbung als Buchhalter:in Kreditorenbuchhaltung (m/w/d) bei Rocket Factory Augsburg AG	https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4842841101	20	Design	Germany, UK	False	Below threshold
2026-06-02	2026-06-02		Rocket Factory	Germany	Job	Bewerbung als Schweißer:in (m/w/d) bei Rocket Factory Augsburg AG	https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4844354101	20	Design	Germany, UK	False	Below threshold
2026-06-02	2026-06-02		Rocket Factory	Germany	Job	Bewerbung als Einkäufer (m/f/d) bei Rocket Factory Augsburg AG	https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4845549101	20	Design	Germany, UK	False	Below threshold
2026-06-02	2026-06-02		Rocket Factory	Germany	Job	Job Application for Office Assistant (m/f/d) at Rocket Factory Augsburg AG	https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4858734101	20	Design	Germany, UK	False	Below threshold
2026-06-02	2026-06-02		Rocket Factory	Germany	Job	Bewerbung als Büroassistent:in (m/w/d) bei Rocket Factory Augsburg AG	https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4861205101	20	Design	Germany, UK	False	Below threshold
2026-06-02	2026-06-02		Rocket Factory	Germany	Job	Job Application for Head of IT (m/f/d) at Rocket Factory Augsburg AG	https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4861274101	20	Design	Germany, UK	False	Below threshold
2026-06-02	2026-06-02		Rocket Factory	Germany	Job	Job Application for Additive Manufacturing Engineer (m/f/d) 3D Metal-Printing at Rocket Factory Augsburg AG	https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4862185101	20	Design	Germany, UK	False	Below threshold
2026-06-02	2026-06-02		Rocket Factory	Germany	Job	Job Application for Material Quality Engineer (m/f/d) AM PFB-LBM at Rocket Factory Augsburg AG	https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4862209101	20	Design	Germany, UK	False	Below threshold
2026-06-02	2026-06-02		Rocket Factory	Germany	Job	Job Application for Avionics Engineer - Safety (m/f/d) at Rocket Factory Augsburg AG	https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4872635101	20	Design	Germany, UK	False	Below threshold
2026-06-02	2026-06-02		Rocket Factory	Germany	Job	Job Application for Systems Administrator - Windows (m/f/d) at Rocket Factory Augsburg AG	https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4876066101	20	Design	Germany, UK	False	Below threshold
2026-06-02	2026-06-02		MTU	Germany	Job	Job Areas - MTU Aero Engines	https://www.mtu.de/careers/job-areas/	20	Aerodynamics		False	Below threshold
2026-06-02	2026-06-02		MTU	Germany	Job	Performance Engineer II - MTU Aero Engines	https://www.mtu.de/careers/online-job-market/job-posting/performance-engineer-ii/	20	Aerodynamics		False	Below threshold
2026-06-02	2026-06-02		Kelvion	Germany	Job	Jobs | Kelvion	https://www.kelvion.com/de/karriere/jobs	20	Design	Germany, UK	False	Below threshold
2026-06-02	2026-06-02		Kelvion	Germany	Job	Jobs | Kelvion	https://www.kelvion.com/de/karriere/jobs?tx_solr%5Bfilter%5D%5B0%5D=categories%3AProduktentwicklung	20	Design	Germany, UK	False	Below threshold
